endtime,cc
2020-12-31 00:00:00,0.707
2020-12-30 00:00:00,0.626
2020-12-29 00:00:00,0.498
2020-12-28 00:00:00,0.27
2020-12-27 00:00:00,-0.104
2020-12-26 00:00:00,-0.125
2020-12-25 00:00:00,-0.115
2020-12-24 00:00:00,-0.147
2020-12-23 00:00:00,-0.148
2020-12-22 00:00:00,-0.151
2020-12-21 00:00:00,-0.182
2020-12-20 00:00:00,-0.193
2020-12-19 00:00:00,-0.197
2020-12-18 00:00:00,-0.214
2020-12-17 00:00:00,-0.231
2020-12-16 00:00:00,-0.231
2020-12-15 00:00:00,-0.255
2020-12-14 00:00:00,-0.305
2020-12-13 00:00:00,-0.271
2020-12-12 00:00:00,-0.267
2020-12-11 00:00:00,-0.281
2020-12-10 00:00:00,-0.265
2020-12-09 00:00:00,-0.245
2020-12-08 00:00:00,-0.246
2020-12-07 00:00:00,-0.265
2020-12-06 00:00:00,-0.309
2020-12-05 00:00:00,-0.317
2020-12-04 00:00:00,-0.275
2020-12-03 00:00:00,-0.275
2020-12-02 00:00:00,-0.277
2020-12-01 00:00:00,-0.147
2020-11-30 00:00:00,-0.041
2020-11-29 00:00:00,-0.03
2020-11-28 00:00:00,0.042
2020-11-27 00:00:00,0.139
2020-11-26 00:00:00,0.149
2020-11-25 00:00:00,0.074
2020-11-24 00:00:00,-0.064
2020-11-23 00:00:00,-0.012
2020-11-22 00:00:00,0.028
2020-11-21 00:00:00,0.036
2020-11-20 00:00:00,0.216
2020-11-19 00:00:00,0.413
2020-11-18 00:00:00,0.466
2020-11-17 00:00:00,0.488
2020-11-16 00:00:00,0.548
2020-11-15 00:00:00,0.575
2020-11-14 00:00:00,0.49
2020-11-13 00:00:00,0.245
2020-11-12 00:00:00,-0.038
2020-11-11 00:00:00,-0.31
2020-11-10 00:00:00,-0.385
2020-11-09 00:00:00,-0.396
2020-11-08 00:00:00,-0.412
2020-11-07 00:00:00,-0.429
2020-11-06 00:00:00,-0.441
2020-11-05 00:00:00,-0.459
2020-11-04 00:00:00,-0.459
2020-11-03 00:00:00,-0.417
2020-11-02 00:00:00,-0.378
2020-11-01 00:00:00,-0.395
2020-10-31 00:00:00,-0.356
2020-10-30 00:00:00,-0.248
2020-10-29 00:00:00,-0.185
2020-10-28 00:00:00,-0.095
2020-10-27 00:00:00,0.006
2020-10-26 00:00:00,0.127
2020-10-25 00:00:00,0.267
2020-10-24 00:00:00,0.176
2020-10-23 00:00:00,0.055
2020-10-22 00:00:00,0.138
2020-10-21 00:00:00,0.249
2020-10-20 00:00:00,0.332
2020-10-19 00:00:00,0.333
2020-10-18 00:00:00,0.297
2020-10-17 00:00:00,0.287
2020-10-16 00:00:00,0.263
2020-10-15 00:00:00,0.309
2020-10-14 00:00:00,0.425
2020-10-13 00:00:00,0.512
2020-10-12 00:00:00,0.393
2020-10-11 00:00:00,0.192
2020-10-10 00:00:00,-0.056
2020-10-09 00:00:00,-0.189
2020-10-08 00:00:00,-0.196
2020-10-07 00:00:00,-0.197
2020-10-06 00:00:00,-0.233
2020-10-05 00:00:00,-0.309
2020-10-04 00:00:00,-0.374
2020-10-03 00:00:00,-0.383
2020-10-02 00:00:00,-0.443
2020-10-01 00:00:00,-0.509
2020-09-30 00:00:00,-0.35
2020-09-29 00:00:00,-0.125
2020-09-28 00:00:00,-0.008
2020-09-27 00:00:00,0.101
2020-09-26 00:00:00,0.254
2020-09-25 00:00:00,0.393
2020-09-24 00:00:00,0.371
2020-09-23 00:00:00,0.056
2020-09-22 00:00:00,-0.262
2020-09-21 00:00:00,-0.413
2020-09-20 00:00:00,-0.46
2020-09-19 00:00:00,-0.382
2020-09-18 00:00:00,-0.211
2020-09-17 00:00:00,-0.061
2020-09-16 00:00:00,0.108
2020-09-15 00:00:00,0.299
