endtime,cc
1/03/2019 0:00,-0.013
28/02/2019 0:00,0.051
27/02/2019 0:00,0.136
26/02/2019 0:00,0.229
25/02/2019 0:00,0.3
24/02/2019 0:00,0.37
23/02/2019 0:00,0.3
22/02/2019 0:00,0.185
21/02/2019 0:00,0.141
20/02/2019 0:00,0.083
19/02/2019 0:00,0.08
18/02/2019 0:00,0.104
17/02/2019 0:00,0.077
16/02/2019 0:00,-0.008
15/02/2019 0:00,-0.117
14/02/2019 0:00,-0.221
13/02/2019 0:00,-0.292
12/02/2019 0:00,-0.329
11/02/2019 0:00,-0.352
10/02/2019 0:00,-0.346
9/02/2019 0:00,-0.314
8/02/2019 0:00,-0.277
7/02/2019 0:00,-0.25
6/02/2019 0:00,-0.228
5/02/2019 0:00,-0.233
4/02/2019 0:00,-0.258
3/02/2019 0:00,-0.247
2/02/2019 0:00,-0.201
1/02/2019 0:00,-0.168
31/01/2019 0:00,-0.067
30/01/2019 0:00,0.115
29/01/2019 0:00,0.255
28/01/2019 0:00,0.418
27/01/2019 0:00,0.602
26/01/2019 0:00,0.709
25/01/2019 0:00,0.798
24/01/2019 0:00,0.756
23/01/2019 0:00,0.619
22/01/2019 0:00,0.476
21/01/2019 0:00,0.256
20/01/2019 0:00,0.091
19/01/2019 0:00,0.162
18/01/2019 0:00,0.253
17/01/2019 0:00,0.235
16/01/2019 0:00,0.162
15/01/2019 0:00,0.073
14/01/2019 0:00,-0.056
13/01/2019 0:00,-0.191
12/01/2019 0:00,-0.329
11/01/2019 0:00,-0.379
10/01/2019 0:00,-0.372
9/01/2019 0:00,-0.359
8/01/2019 0:00,-0.354
7/01/2019 0:00,-0.354
6/01/2019 0:00,-0.352
5/01/2019 0:00,-0.347
4/01/2019 0:00,-0.338
3/01/2019 0:00,-0.333
2/01/2019 0:00,-0.339
1/01/2019 0:00,-0.342
31/12/2018 0:00,-0.341
30/12/2018 0:00,-0.35
29/12/2018 0:00,-0.361
28/12/2018 0:00,-0.368
27/12/2018 0:00,-0.375
26/12/2018 0:00,-0.384
25/12/2018 0:00,-0.394
24/12/2018 0:00,-0.402
23/12/2018 0:00,-0.407
22/12/2018 0:00,-0.412
21/12/2018 0:00,-0.417
20/12/2018 0:00,-0.422
19/12/2018 0:00,-0.427
18/12/2018 0:00,-0.432
17/12/2018 0:00,-0.436
16/12/2018 0:00,-0.447
15/12/2018 0:00,-0.47
14/12/2018 0:00,-0.499
13/12/2018 0:00,-0.506
12/12/2018 0:00,-0.506
11/12/2018 0:00,-0.511
10/12/2018 0:00,-0.536
9/12/2018 0:00,-0.559
8/12/2018 0:00,-0.574
7/12/2018 0:00,-0.581
6/12/2018 0:00,-0.58
5/12/2018 0:00,-0.561
4/12/2018 0:00,-0.517
3/12/2018 0:00,-0.462
2/12/2018 0:00,-0.407
1/12/2018 0:00,-0.36
30/11/2018 0:00,-0.335
29/11/2018 0:00,-0.316
28/11/2018 0:00,-0.286
27/11/2018 0:00,-0.218
26/11/2018 0:00,-0.111
25/11/2018 0:00,0.006
24/11/2018 0:00,0.129
23/11/2018 0:00,0.233
22/11/2018 0:00,0.314
21/11/2018 0:00,0.376
20/11/2018 0:00,0.374
19/11/2018 0:00,0.307
18/11/2018 0:00,0.212
17/11/2018 0:00,0.099
16/11/2018 0:00,-0.023
15/11/2018 0:00,-0.126
14/11/2018 0:00,-0.183
13/11/2018 0:00,-0.115
12/11/2018 0:00,-0.037
11/11/2018 0:00,-0.013
10/11/2018 0:00,-0.044
9/11/2018 0:00,-0.028
8/11/2018 0:00,-0.006
7/11/2018 0:00,-0.01
6/11/2018 0:00,0.098
5/11/2018 0:00,0.3
4/11/2018 0:00,0.437
3/11/2018 0:00,0.554
2/11/2018 0:00,0.715
1/11/2018 0:00,0.825
31/10/2018 0:00,0.817
30/10/2018 0:00,0.765
29/10/2018 0:00,0.782
28/10/2018 0:00,0.782
27/10/2018 0:00,0.809
26/10/2018 0:00,0.822
25/10/2018 0:00,0.863
24/10/2018 0:00,0.881
23/10/2018 0:00,0.83
22/10/2018 0:00,0.808
21/10/2018 0:00,0.799
20/10/2018 0:00,0.706
19/10/2018 0:00,0.545
18/10/2018 0:00,0.339
17/10/2018 0:00,0.497
16/10/2018 0:00,0.789
15/10/2018 0:00,0.83
14/10/2018 0:00,0.83
13/10/2018 0:00,0.831
12/10/2018 0:00,0.745
11/10/2018 0:00,0.662
