endtime,cc
2021-06-30 00:00:00,-0.255
2021-06-29 00:00:00,-0.178
2021-06-28 00:00:00,-0.111
2021-06-27 00:00:00,-0.152
2021-06-26 00:00:00,-0.034
2021-06-25 00:00:00,0.18
2021-06-24 00:00:00,0.174
2021-06-23 00:00:00,0.149
2021-06-22 00:00:00,0.224
2021-06-21 00:00:00,0.232
2021-06-20 00:00:00,0.175
2021-06-19 00:00:00,-0.145
2021-06-18 00:00:00,-0.351
2021-06-17 00:00:00,-0.324
2021-06-16 00:00:00,-0.27
2021-06-15 00:00:00,-0.222
2021-06-14 00:00:00,-0.196
2021-06-13 00:00:00,-0.168
2021-06-12 00:00:00,-0.142
2021-06-11 00:00:00,-0.187
2021-06-10 00:00:00,-0.304
2021-06-09 00:00:00,-0.457
2021-06-08 00:00:00,-0.53
2021-06-07 00:00:00,-0.517
2021-06-06 00:00:00,-0.477
2021-06-05 00:00:00,-0.444
2021-06-04 00:00:00,-0.386
2021-06-03 00:00:00,-0.288
2021-06-02 00:00:00,-0.223
2021-06-01 00:00:00,-0.178
2021-05-31 00:00:00,-0.075
2021-05-30 00:00:00,0.041
2021-05-29 00:00:00,0.11
2021-05-28 00:00:00,0.195
2021-05-27 00:00:00,0.324
2021-05-26 00:00:00,0.514
2021-05-25 00:00:00,0.666
2021-05-24 00:00:00,0.753
2021-05-23 00:00:00,0.833
2021-05-22 00:00:00,0.861
2021-05-21 00:00:00,0.806
2021-05-20 00:00:00,0.734
2021-05-19 00:00:00,0.64
2021-05-18 00:00:00,0.505
2021-05-17 00:00:00,0.345
2021-05-16 00:00:00,0.15
2021-05-15 00:00:00,0.073
2021-05-14 00:00:00,0.055
2021-05-13 00:00:00,0.014
2021-05-12 00:00:00,-0.071
2021-05-11 00:00:00,-0.178
2021-05-10 00:00:00,-0.233
2021-05-09 00:00:00,-0.188
2021-05-08 00:00:00,-0.188
2021-05-07 00:00:00,-0.178
2021-05-06 00:00:00,-0.045
2021-05-05 00:00:00,0.068
2021-05-04 00:00:00,0.1
2021-05-03 00:00:00,0.158
2021-05-02 00:00:00,0.252
2021-05-01 00:00:00,0.293
2021-04-30 00:00:00,0.166
2021-04-29 00:00:00,-0.126
2021-04-28 00:00:00,-0.258
2021-04-27 00:00:00,-0.288
2021-04-26 00:00:00,-0.303
2021-04-25 00:00:00,-0.324
2021-04-24 00:00:00,-0.359
2021-04-23 00:00:00,-0.401
2021-04-22 00:00:00,-0.451
2021-04-21 00:00:00,-0.496
2021-04-20 00:00:00,-0.526
2021-04-19 00:00:00,-0.508
2021-04-18 00:00:00,-0.452
2021-04-17 00:00:00,-0.395
2021-04-16 00:00:00,-0.286
2021-04-15 00:00:00,-0.125
2021-04-14 00:00:00,0.058
2021-04-13 00:00:00,0.262
2021-04-12 00:00:00,0.434
2021-04-11 00:00:00,0.552
2021-04-10 00:00:00,0.645
2021-04-09 00:00:00,0.709
2021-04-08 00:00:00,0.688
2021-04-07 00:00:00,0.571
2021-04-06 00:00:00,0.369
2021-04-05 00:00:00,0.101
2021-04-04 00:00:00,-0.032
2021-04-03 00:00:00,-0.103
2021-04-02 00:00:00,-0.217
2021-04-01 00:00:00,-0.3
2021-03-31 00:00:00,-0.292
2021-03-30 00:00:00,-0.204
2021-03-29 00:00:00,-0.077
2021-03-28 00:00:00,0.109
2021-03-27 00:00:00,0.313
2021-03-26 00:00:00,0.426
2021-03-25 00:00:00,0.496
2021-03-24 00:00:00,0.57
2021-03-23 00:00:00,0.665
2021-03-22 00:00:00,0.662
2021-03-21 00:00:00,0.402
2021-03-20 00:00:00,0.191
2021-03-19 00:00:00,0.158
2021-03-18 00:00:00,0.006
2021-03-17 00:00:00,-0.257
2021-03-16 00:00:00,-0.433
2021-03-15 00:00:00,-0.466
2021-03-14 00:00:00,-0.483
2021-03-13 00:00:00,-0.54
2021-03-12 00:00:00,-0.66
2021-03-11 00:00:00,-0.694
2021-03-10 00:00:00,-0.654
2021-03-09 00:00:00,-0.619
